unemployment_rate,hpi_change_annual,gdp_growth_annual,pd_multiplier,lgd_multiplier,portfolio_loss,loss_rate
6.0859623,17.955828,2.1348267,1.4464905,1.0,38370770000.0,0.063367695
7.3642793,-9.440479,1.1417087,1.7660698,1.1416072,53645730000.0,0.08859364
4.439946,1.5051165,2.289808,1.0349865,1.0,27329047000.0,0.045132756
3.218481,-2.12749,0.94762343,1.0,1.0319123,27232471000.0,0.044973265
5.526683,6.4026346,-0.0991838,1.3116299,1.0,34752106000.0,0.05739162
9.332565,-4.535541,1.2085893,2.2581413,1.0680331,64172050000.0,0.1059774
7.2623534,2.5698698,3.3584213,1.7405883,1.0,46260617000.0,0.076397434
4.6993628,4.687556,3.9503775,1.0998406,1.0,29069255000.0,0.048006635
5.0710697,-1.5072198,4.78836,1.1927674,1.0226083,32278500000.0,0.053306565
4.356019,7.9054446,0.12536752,1.0140047,1.0,26766055000.0,0.044203
2.189028,-0.20961094,3.0486684,1.0,1.0031441,26473240000.0,0.04371943
8.4768715,5.180784,1.6793187,2.0442178,1.0,54379954000.0,0.08980618
2.6059213,13.050896,5.2846813,1.0,1.0,26390268000.0,0.043582402
4.409965,12.595198,2.424665,1.0274912,1.0,27127929000.0,0.044800617
5.872541,3.7950869,1.8983614,1.3931352,1.0,36939104000.0,0.061003357
4.5579433,-0.25548983,1.4656532,1.0644858,1.0038323,28228485000.0,0.04661814
5.05418,2.4969378,0.07123375,1.188545,1.0,31449422000.0,0.05193738
6.475898,4.883774,1.0495257,1.5439744,1.0,40986510000.0,0.067687474
7.6791615,-6.253963,-0.23390055,1.8564854,1.0938095,54037254000.0,0.08924022
4.450041,9.428213,1.2256601,1.0375102,1.0,27396764000.0,0.045244586
8.131725,-3.5224643,0.8200093,1.9579313,1.052837,54856163000.0,0.090592615
4.873536,12.977474,0.5361669,1.143384,1.0,30237637000.0,0.049936168
6.7891054,-4.638231,-0.00279212,1.6224159,1.0695734,46110904000.0,0.076150194
6.7103014,4.163066,1.662062,1.6025753,1.0,42558845000.0,0.07028412
6.4131556,18.244959,2.4009705,1.5282888,1.0,40565625000.0,0.0669924
