variable,value,pd_multiplier,lgd_multiplier,portfolio_loss,loss_rate,vs_base
unemployment_rate,4.0,1.0,1.0,26390268000.0,0.043582402,1.0
unemployment_rate,5.0,1.175,1.0,31085974000.0,0.05133716,1.1779332
unemployment_rate,6.0,1.425,1.0,37794120000.0,0.062415376,1.4321234
unemployment_rate,7.0,1.675,1.0,44501750000.0,0.07349274,1.686294
unemployment_rate,8.0,1.925,1.0,51199020000.0,0.084553,1.9400721
unemployment_rate,10.0,2.425,1.0,64398696000.0,0.1063517,2.4402442
unemployment_rate,12.0,2.925,1.0,76894300000.0,0.12698765,2.9137368
hpi_change_annual,10.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
hpi_change_annual,5.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
hpi_change_annual,0.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
hpi_change_annual,-5.0,1.3518333,1.075,38531473000.0,0.063633084,1.4600637
hpi_change_annual,-10.0,1.3518333,1.15,41232060000.0,0.06809299,1.5623964
hpi_change_annual,-20.0,1.3518333,1.3,46633263000.0,0.077012844,1.7670629
hpi_change_annual,-30.0,1.3518333,1.45,52034454000.0,0.08593268,1.9717289
gdp_growth_annual,4.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
gdp_growth_annual,2.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
gdp_growth_annual,0.0,1.3518333,1.0,35830866000.0,0.059173148,1.3577303
gdp_growth_annual,-2.0,1.4518334,1.0,38514135000.0,0.06360445,1.4594067
gdp_growth_annual,-4.0,1.5518334,1.0,41197367000.0,0.0680357,1.5610818
gdp_growth_annual,-6.0,1.6518333,1.0,43880320000.0,0.07246648,1.6627463
gdp_growth_annual,-8.0,1.7518333,1.0,46562066000.0,0.07689527,1.7643651
